seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.06,-0.33,0.16,-9.06,-0.07,-0.00,0.03
0.12,-0.28,0.11,-9.13,0.02,-0.07,0.19
0.17,-0.33,0.18,-9.05,0.07,0.00,0.05
0.22,-0.33,0.11,-9.21,0.04,0.02,-0.08
0.28,-0.23,0.09,-9.13,0.01,0.04,-0.05
0.34,-0.26,0.10,-9.16,0.01,0.02,-0.01
0.39,-0.27,0.10,-9.09,0.00,0.02,0.05
0.45,-0.26,0.10,-9.16,0.03,-0.04,-0.04
0.50,-0.26,0.35,-9.14,0.01,-0.04,-0.01
0.56,-0.34,6.52,-9.14,0.04,-0.01,0.17
0.61,0.15,0.97,-9.12,-0.01,0.01,-0.19
0.67,0.15,1.51,-9.05,0.02,0.03,-0.29
0.73,0.14,0.92,-9.16,0.01,-0.00,-0.11
0.78,-0.15,1.14,-9.19,0.01,0.01,-0.09
0.84,-0.39,0.37,-9.21,-0.02,0.02,0.05
0.89,-0.37,-0.10,-9.17,0.02,-0.00,0.15
0.95,-0.76,0.08,-9.12,0.01,0.01,0.16
1.01,-0.35,0.15,-9.25,-0.11,0.09,0.17
1.06,0.87,1.99,-8.98,0.43,0.07,-0.16
1.12,0.04,0.02,-9.11,0.04,0.10,-0.25
1.17,-0.16,0.36,-9.14,-0.02,0.10,-0.31
1.23,-0.72,-0.21,-9.05,0.01,-0.09,-0.24
1.28,-0.11,0.69,-9.19,0.09,-0.04,-0.23
1.34,-0.61,0.76,-9.23,0.02,-0.12,-0.58
1.39,0.51,0.24,-9.19,0.01,-0.03,-0.48
1.45,0.04,-1.25,-9.14,0.01,-0.00,-0.71
1.51,-0.04,-2.51,-9.19,-0.04,-0.00,-0.48
1.56,-0.49,-2.48,-9.06,-0.03,0.11,0.05
1.62,0.37,-1.30,-9.27,0.04,0.04,-0.40
1.67,-0.03,-0.02,-9.13,0.04,-0.03,0.15
1.73,-0.13,0.13,-9.09,0.02,-0.04,0.20
1.78,-0.23,0.04,-9.16,0.02,0.00,0.00
1.84,-0.17,0.06,-9.18,0.02,0.01,0.02
1.90,0.05,-0.14,-9.12,0.03,-0.01,0.24
1.95,0.14,-1.59,-9.15,0.02,-0.05,0.12
2.01,-0.11,-0.97,-9.19,0.01,-0.09,0.07
2.06,-0.38,-1.19,-9.12,0.02,-0.10,0.03
2.12,-0.35,-1.34,-9.16,0.02,-0.12,-0.02
2.17,-0.43,-0.72,-9.21,0.05,-0.12,0.02
2.23,-0.43,-0.79,-9.09,0.03,-0.14,0.10
2.29,-0.49,-0.77,-9.11,0.02,-0.30,-0.04
2.34,-0.70,-0.61,-9.19,0.04,-0.35,-0.00
