seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.06,-0.37,-0.03,-9.20,0.02,0.01,-0.06
0.12,-0.08,0.22,-9.20,0.02,0.02,-0.02
0.17,-0.26,0.04,-9.06,0.02,0.00,-0.05
0.22,-0.25,0.08,-9.21,0.03,-0.00,-0.02
0.28,-0.19,0.10,-8.99,0.03,-0.02,-0.00
0.34,-0.22,0.06,-9.08,0.03,0.01,-0.00
0.39,-0.19,0.07,-9.01,0.03,-0.01,-0.01
0.45,-0.23,0.07,-9.16,0.01,0.01,-0.00
0.50,-0.23,0.08,-9.11,0.01,0.00,-0.00
0.56,-0.30,0.02,-9.18,0.00,0.03,0.00
0.61,-0.31,0.01,-9.17,0.01,0.01,0.08
0.67,-0.31,0.10,-9.12,0.02,0.01,0.09
0.73,-0.19,0.56,-9.18,0.02,-0.02,0.08
0.78,0.15,0.72,-9.16,0.02,-0.02,-0.14
0.84,-0.84,-0.35,-9.13,0.03,-0.01,-0.18
0.89,-0.52,0.23,-9.15,0.01,0.02,-0.00
0.95,-0.26,-0.19,-9.20,0.02,0.02,0.06
1.00,-0.05,-0.98,-9.11,0.02,0.02,0.03
1.06,-0.28,-0.43,-9.18,0.02,0.01,0.18
1.12,-0.13,0.45,-9.16,0.02,-0.01,0.13
1.17,-0.29,0.62,-9.12,0.02,-0.00,0.02
1.23,-0.28,0.97,-9.13,0.01,0.00,-0.05
1.28,-0.53,-0.55,-9.15,0.01,0.01,-0.15
1.34,-0.12,0.39,-9.09,0.01,0.02,0.19
1.39,-0.14,0.33,-9.16,0.00,0.02,0.06
1.45,-0.14,0.19,-9.15,0.01,0.02,-0.01
1.51,-0.16,0.12,-9.14,0.02,0.01,-0.05
1.56,-0.32,-0.31,-9.11,0.02,0.01,-0.08
1.62,-0.27,-0.52,-9.14,0.01,0.01,0.11
1.67,-0.12,0.06,-9.13,0.01,0.00,0.07
1.73,-0.32,0.02,-9.12,0.02,0.00,-0.02
1.78,-0.25,0.12,-9.11,0.02,0.01,-0.04
1.84,-0.27,0.07,-9.13,0.01,0.00,-0.05
1.90,-0.45,0.11,-9.17,-0.00,0.01,-0.09
1.95,-0.33,0.77,-9.17,0.01,-0.00,-0.08
2.01,-0.35,0.52,-9.15,0.03,0.01,-0.07
2.06,-0.08,0.07,-9.15,0.03,0.02,-0.04
2.12,-0.18,0.08,-9.13,-0.00,0.03,-0.06
2.17,-0.22,0.14,-9.13,-0.08,0.04,0.01
2.23,-0.20,0.11,-9.10,-0.01,-0.02,-0.05
2.29,-0.04,0.45,-9.04,0.15,-0.09,-0.15
2.34,-0.33,-0.90,-9.18,0.07,-0.04,-0.14
2.40,-0.27,-0.38,-9.11,0.02,0.02,-0.03
2.45,-0.28,-0.51,-9.18,0.02,0.04,0.06
2.51,-0.00,-0.12,-9.14,0.02,0.04,0.03
2.56,-0.09,-0.34,-9.16,0.00,0.05,0.04
2.62,-0.25,-0.20,-9.14,0.01,0.04,-0.01
2.68,-0.11,0.15,-9.16,0.01,0.04,-0.05
2.73,-0.33,0.15,-9.13,0.01,0.03,-0.06
2.79,-0.23,-0.13,-9.17,0.00,0.02,-0.09
2.84,-0.16,-0.27,-9.14,0.00,0.01,0.00
2.90,0.08,0.52,-9.10,-0.00,0.00,0.00
2.95,-0.31,0.44,-9.13,0.01,0.01,-0.01
3.01,-0.52,0.19,-9.16,0.00,0.02,-0.00
3.07,-0.23,0.08,-9.17,0.00,0.03,-0.01
3.12,-0.07,-0.03,-9.17,0.01,0.04,-0.07
3.18,-0.12,0.17,-9.11,0.00,0.02,-0.04
3.23,-0.17,0.03,-9.13,0.01,0.02,-0.03
3.29,-0.20,-0.10,-9.13,0.02,-0.00,-0.01
3.34,-0.10,0.07,-9.15,0.03,0.02,-0.02
3.40,-0.11,0.14,-9.12,0.03,0.07,-0.03
3.45,-0.10,0.24,-9.17,0.04,0.03,-0.05
3.51,-0.07,0.07,-9.11,0.04,0.01,-0.02
3.57,-0.08,0.05,-9.16,0.02,0.01,0.00
3.62,-0.10,0.01,-9.15,0.02,-0.01,-0.00
3.68,-0.03,-0.01,-9.11,0.02,-0.01,0.04
3.73,-0.12,0.09,-9.12,0.03,-0.01,0.03
3.79,-0.07,0.02,-9.16,0.02,-0.01,0.02
3.84,-0.07,0.01,-9.14,0.02,-0.00,0.02
3.90,-0.08,-0.06,-9.15,0.02,-0.01,-0.00
3.96,-0.12,-0.10,-9.15,0.00,0.00,-0.01
4.01,-0.11,-0.09,-9.14,0.02,-0.00,0.03
4.07,-0.13,-0.09,-9.11,0.03,-0.01,-0.01
4.12,-0.13,0.01,-9.14,0.01,-0.01,-0.00
4.18,-0.11,-0.07,-9.13,0.02,-0.01,-0.05
4.23,-0.20,0.05,-9.16,0.01,-0.00,-0.03
4.29,-0.17,-0.04,-9.14,0.01,-0.00,-0.05
4.34,-0.21,0.03,-9.17,0.01,-0.00,-0.04
4.40,-0.19,0.38,-9.18,0.02,-0.00,-0.07
4.46,-0.16,0.20,-9.12,0.01,-0.01,-0.11
4.51,-0.22,0.38,-9.14,0.02,-0.01,-0.09
4.57,-0.20,0.04,-9.13,0.03,-0.01,-0.04
4.62,-0.28,0.25,-9.17,0.01,-0.00,-0.04
4.68,-0.01,0.15,-9.17,0.01,-0.00,-0.03
4.74,-0.13,-0.27,-9.16,0.02,-0.00,-0.03
4.79,0.00,-0.37,-9.14,0.02,-0.00,0.01
4.85,0.11,0.19,-9.17,0.02,0.00,-0.01
4.90,-0.04,0.14,-9.14,0.02,0.01,-0.08
4.96,-0.34,-0.33,-9.14,0.01,0.02,0.05
5.01,-0.47,-0.14,-9.15,0.01,0.01,0.04
5.07,-0.07,0.32,-9.15,0.02,0.00,0.02
5.12,-0.31,0.03,-9.10,0.02,-0.00,-0.06
5.18,-0.27,-0.50,-9.14,0.02,0.00,-0.04
5.24,-0.25,0.63,-9.17,0.01,0.00,0.01
5.29,-0.23,0.07,-9.15,0.01,0.01,-0.01
5.35,-0.24,0.29,-9.16,0.01,0.01,-0.01
5.40,-0.26,0.46,-9.12,0.02,0.01,-0.12
5.46,-0.28,0.06,-9.19,0.01,0.01,0.09
5.51,-0.05,0.12,-9.12,0.00,0.01,0.10
5.57,-0.28,0.08,-9.14,0.01,0.02,0.12
5.63,-0.16,0.22,-9.14,0.04,0.02,0.11
5.68,-0.03,0.80,-9.14,0.04,0.02,0.03
5.74,0.15,0.50,-9.16,-0.01,0.02,-0.01
5.79,-0.14,-0.35,-9.12,-0.00,0.03,-0.24
5.85,0.02,-0.37,-9.16,0.04,0.01,0.04
5.90,-0.12,0.05,-9.16,0.02,-0.01,0.10
5.96,-0.14,0.04,-9.18,0.01,0.00,0.03
6.01,-0.13,0.07,-9.13,0.01,0.01,-0.00
6.07,-0.13,0.08,-9.15,0.01,0.01,-0.01
6.13,-0.14,0.07,-9.15,0.01,0.01,-0.03
6.18,-0.13,0.08,-9.13,0.01,0.01,-0.02
6.24,-0.12,0.06,-9.12,0.02,0.00,-0.01
6.29,-0.14,0.07,-9.16,0.02,0.01,-0.01
6.35,-0.10,0.05,-9.13,0.02,0.01,-0.01
6.41,-0.11,0.10,-9.15,0.02,0.00,-0.01
6.46,-0.12,0.08,-9.14,0.01,0.01,-0.01
6.52,-0.11,0.04,-9.17,0.01,0.00,-0.03
6.57,-0.10,0.04,-9.14,0.02,0.00,-0.01
6.63,0.66,-1.29,-9.11,0.02,0.00,-0.11
6.68,0.11,-0.49,-9.12,0.01,-0.01,-0.12
6.74,-0.10,0.08,-9.17,-0.01,-0.02,0.02
6.79,-0.20,-0.04,-9.16,0.01,-0.03,-0.05
6.85,-0.21,-0.14,-9.10,0.02,-0.02,-0.01
6.91,-0.36,-0.06,-9.14,0.02,-0.01,0.01
6.96,-0.16,-0.06,-9.14,0.02,-0.01,0.05
7.02,-0.04,0.05,-9.12,0.01,-0.02,0.02
7.07,-0.25,0.18,-9.16,0.01,-0.00,0.03
7.13,-0.16,-0.01,-9.13,0.02,-0.02,0.06
7.18,-0.03,-0.20,-9.11,0.01,-0.01,0.05
7.24,-0.44,-0.33,-9.16,0.01,0.03,-0.01
7.30,-0.34,-0.02,-9.13,0.03,-0.00,0.03
7.35,-0.48,0.06,-9.13,0.02,0.03,0.04
7.41,-0.50,-0.03,-9.21,0.02,0.05,0.06
7.46,-0.16,0.15,-9.14,0.03,0.02,0.03
7.52,-0.04,0.21,-9.15,0.02,0.01,0.02
7.57,-0.24,0.24,-9.15,0.02,0.01,-0.01
7.63,-0.09,0.17,-9.14,0.02,0.00,0.06
7.69,-0.21,0.03,-9.16,0.01,0.01,0.03
7.74,-0.24,-0.00,-9.14,0.02,0.00,0.00
7.80,-0.22,-0.04,-9.17,0.02,0.01,0.00
7.85,-0.12,-0.07,-9.09,0.02,0.01,0.01
