seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.00,-6.11,-0.29,-6.81,0.00,0.03,-0.01
0.06,-6.12,-0.31,-6.88,0.00,0.02,-0.01
0.12,-6.08,-0.28,-6.91,0.01,0.01,-0.01
0.17,-6.13,-0.28,-6.90,0.01,-0.02,-0.01
0.22,-6.11,-0.28,-6.87,0.04,-0.02,-0.01
0.28,-6.13,-0.32,-6.79,0.07,-0.04,-0.01
0.34,-6.20,-0.38,-7.04,0.02,0.03,-0.01
0.39,-6.10,-0.30,-6.84,0.01,0.03,-0.01
0.45,-6.21,-0.33,-6.95,0.02,0.01,-0.01
0.50,-6.13,-0.30,-6.88,0.03,-0.01,-0.00
0.56,-6.14,-0.34,-6.95,0.01,0.01,-0.01
0.61,-6.12,-0.30,-6.90,0.02,0.01,-0.01
0.67,-6.18,-0.35,-6.89,0.05,-0.04,-0.01
0.73,-6.14,-0.34,-6.87,0.01,0.01,-0.01
0.78,-6.15,-0.32,-6.94,-0.02,0.06,-0.00
0.84,-6.10,-0.31,-6.86,-0.02,0.03,-0.00
0.89,-6.00,-0.23,-6.81,-0.04,0.04,-0.00
0.95,-6.93,-0.48,-7.18,-0.05,0.09,-0.01
1.01,-5.44,-0.24,-6.69,-0.06,-0.01,-0.10
1.06,-5.80,-0.29,-6.90,0.00,-0.03,0.00
1.12,-6.05,-0.15,-6.87,-0.01,0.05,-0.03
1.17,-6.10,-0.23,-7.09,0.02,0.02,-0.01
1.23,-6.08,-0.15,-6.92,0.10,-0.01,-0.08
1.28,-6.06,-0.01,-6.63,0.18,-0.26,-0.07
1.34,-6.48,-0.25,-7.12,0.09,-0.15,-0.06
1.39,-5.99,-0.43,-6.74,-0.06,-0.10,0.05
1.45,-6.17,-0.27,-6.84,0.04,-0.02,0.10
1.51,-6.11,-0.15,-6.83,-0.12,0.06,0.30
1.56,-6.41,-0.01,-7.00,0.04,-0.12,0.07
1.62,-5.83,-0.04,-6.70,-0.09,0.02,0.01
1.67,-4.61,-0.80,-7.96,-0.01,0.37,-1.72
1.73,-4.41,-1.43,-6.69,-0.09,0.13,-0.57
1.78,-5.17,-0.83,-6.94,-0.03,0.18,0.39
1.84,-4.60,-1.29,-7.35,-0.06,0.21,-1.41
1.90,-3.42,-0.93,-7.46,0.00,0.13,-1.95
1.95,-2.88,-0.56,-7.36,0.14,-0.09,0.96
2.01,-2.77,-0.97,-7.15,0.01,-0.03,2.13
2.06,-3.45,-0.53,-7.25,0.22,-0.21,2.37
2.12,-3.48,3.57,-7.82,0.64,0.17,6.60
2.18,-0.50,8.21,-8.74,2.08,-0.52,8.73
2.23,-0.96,-0.47,-4.31,-6.75,0.96,-5.77
2.29,-1.73,-1.65,-5.26,4.98,4.50,-5.82
2.34,-3.40,1.33,-6.43,-1.29,0.01,-3.25
2.40,-5.23,0.24,-7.16,0.98,0.32,-4.06
2.45,-5.46,0.71,-6.42,0.13,0.10,-0.13
2.51,-5.31,0.17,-7.51,0.03,0.01,-0.01
2.57,-5.31,0.19,-7.52,0.02,-0.01,-0.01
2.62,-5.32,0.19,-7.52,0.02,0.01,-0.01
2.68,-5.33,0.18,-7.52,0.02,0.01,-0.01
2.73,-5.32,0.18,-7.50,0.04,-0.00,-0.01
2.79,-5.29,0.17,-7.48,0.05,0.01,-0.01
2.84,-5.33,0.15,-7.51,0.03,0.00,-0.01
2.90,-5.32,0.13,-7.48,0.02,0.00,-0.01
2.96,-5.32,0.20,-7.52,0.05,0.01,-0.02
3.01,-5.28,0.11,-7.54,0.04,0.01,-0.01
3.07,-5.35,0.11,-7.50,0.03,0.01,-0.01
