seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.00,-0.35,-0.00,-9.14,0.01,0.01,-0.01
0.06,-0.36,-0.01,-9.14,0.02,0.00,-0.01
0.12,-0.37,-0.02,-9.13,0.02,0.01,-0.01
0.17,-0.37,-0.01,-9.11,0.02,0.00,-0.01
0.22,-0.35,-0.03,-9.15,0.01,0.01,-0.01
0.28,-0.36,-0.00,-9.11,0.02,0.00,-0.00
0.34,-0.34,-0.02,-9.12,0.02,0.00,-0.00
0.39,-0.34,-0.01,-9.12,0.02,0.00,-0.00
0.45,-0.35,-0.00,-9.13,0.02,0.01,0.00
0.50,-0.35,-0.00,-9.14,0.02,0.01,-0.01
0.56,-0.34,-0.02,-9.17,0.01,0.01,-0.01
0.61,-0.34,-0.00,-9.16,0.03,-0.03,-0.01
0.67,-0.35,-0.08,-9.05,0.02,0.00,0.01
0.73,-0.38,0.00,-9.11,0.02,-0.02,0.01
0.78,-0.42,-0.03,-9.16,0.02,0.01,0.00
0.84,-0.40,-0.04,-9.14,0.02,-0.02,-0.01
0.89,-0.37,0.00,-9.13,0.02,0.01,-0.01
0.95,-0.40,-0.04,-9.11,0.02,-0.03,-0.00
1.00,-0.40,-0.03,-9.15,0.01,0.03,-0.01
1.06,-0.38,-0.01,-9.15,0.01,0.00,-0.03
1.12,-0.40,-0.03,-9.14,0.02,0.00,-0.01
1.17,-0.37,-0.00,-9.09,0.02,0.01,-0.03
1.23,-0.38,0.02,-9.13,0.01,0.02,-0.03
1.28,-0.37,-0.04,-9.12,0.01,0.01,0.01
1.34,-0.47,0.09,-9.13,0.01,0.03,0.05
1.39,0.00,3.31,-9.14,0.03,-0.02,0.12
1.45,-0.65,0.92,-9.09,0.01,0.00,-0.11
1.51,-0.48,0.77,-9.11,0.02,0.02,-0.06
1.56,-0.45,0.65,-9.14,0.01,0.04,-0.13
1.62,-0.22,0.59,-9.16,0.01,0.03,-0.04
1.67,-0.08,0.82,-9.14,-0.01,0.04,-0.16
1.73,-0.21,0.40,-9.09,0.01,0.01,-0.28
1.78,-0.31,0.38,-9.14,-0.02,0.02,-0.22
1.84,-0.58,-0.28,-9.12,-0.01,-0.02,-0.22
1.90,-0.54,-0.30,-9.06,0.03,-0.02,-0.08
1.95,-0.06,-0.25,-9.17,-0.01,0.00,-0.07
2.01,-0.37,-0.47,-9.11,-0.08,0.00,-0.04
2.06,-0.03,0.13,-9.00,0.31,-0.24,-0.23
2.12,-0.32,-0.31,-9.17,-0.08,0.03,-0.15
2.17,-0.43,-0.10,-9.08,-0.01,0.12,-0.11
2.23,-0.39,-0.36,-9.12,-0.01,0.13,-0.00
2.29,-0.17,-0.17,-9.19,0.01,0.11,-0.10
2.34,-0.27,-0.14,-9.20,-0.02,0.07,-0.05
2.40,-0.24,0.15,-9.07,0.07,0.02,-0.10
2.45,-0.06,0.04,-9.08,0.05,-0.01,-0.14
2.51,-0.33,-0.23,-9.14,0.03,-0.03,-0.14
2.56,-0.29,-0.11,-9.15,0.01,-0.03,0.00
2.62,-0.17,-0.14,-9.15,0.02,-0.04,0.02
2.68,-0.42,-0.26,-9.14,0.01,-0.03,0.01
2.73,-0.11,0.34,-9.17,0.02,-0.02,0.08
2.79,-0.34,-0.04,-9.13,0.00,0.02,0.02
2.84,-0.19,-0.45,-9.12,0.01,0.00,0.09
2.90,-0.37,-0.48,-9.10,0.03,0.00,0.09
2.95,-0.08,-0.08,-9.10,0.02,0.00,0.18
3.01,-0.35,-0.44,-9.10,0.02,-0.03,0.06
