seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.06,0.03,-0.44,-9.12,0.02,0.00,-0.01
0.12,0.02,-0.45,-9.11,0.02,0.00,-0.01
0.17,0.04,-0.43,-9.13,0.02,0.00,-0.01
0.22,0.05,-0.44,-9.13,0.02,0.00,-0.01
0.28,0.03,-0.45,-9.14,0.02,0.00,-0.01
0.34,0.04,-0.44,-9.12,0.02,0.01,-0.01
0.39,0.02,-0.43,-9.14,0.04,0.01,-0.00
0.45,-0.66,-0.01,-9.08,0.12,0.01,-0.74
0.50,-1.34,0.03,-9.28,0.19,0.02,-0.54
0.56,0.71,-0.96,-9.02,0.13,0.01,-0.54
0.61,0.40,-1.41,-9.14,0.05,0.02,0.14
0.67,-0.34,-0.97,-9.09,0.01,-0.01,0.15
0.73,-1.41,-0.63,-9.18,-0.03,-0.01,-0.11
0.78,-0.96,-0.57,-9.11,-0.02,0.01,-0.20
0.84,-0.64,-0.61,-9.12,-0.02,-0.01,-0.31
0.89,-0.49,-0.42,-9.12,-0.06,-0.00,0.18
0.95,-0.78,-0.08,-9.17,0.11,-0.01,-0.03
1.01,-1.12,-0.42,-9.16,0.02,0.02,-0.03
1.06,0.14,-1.06,-8.83,0.04,0.10,0.08
1.12,-0.86,-0.79,-8.99,-0.05,-0.04,0.27
1.17,-0.10,-1.04,-9.14,-0.21,-0.02,0.30
1.23,-0.81,-0.59,-8.81,-0.09,0.12,-0.12
1.28,0.71,-0.09,-9.19,0.10,-0.03,-0.21
1.34,0.20,0.16,-9.19,0.09,0.00,-0.24
1.39,0.42,0.42,-9.12,0.06,-0.03,-0.24
1.45,1.25,-0.29,-9.24,-0.01,-0.03,-0.15
1.51,0.74,-0.16,-8.93,0.02,0.05,-0.00
1.56,2.83,-0.88,-9.16,-0.06,0.01,-0.06
1.62,0.55,-0.19,-9.54,-0.02,-0.02,-0.39
1.67,0.07,-0.18,-9.21,0.05,0.03,0.14
1.73,0.03,-0.25,-9.18,0.09,0.01,0.57
1.78,-0.05,-0.65,-9.06,0.03,0.00,0.04
1.84,0.00,-0.35,-9.15,-0.00,-0.00,-0.07
1.90,0.02,-0.37,-9.14,0.02,0.00,-0.03
1.95,-0.00,-0.38,-9.13,0.04,0.01,-0.01
2.01,0.05,-0.37,-9.10,0.01,-0.00,-0.03
2.06,-0.00,-0.41,-9.15,0.01,0.01,-0.01
2.12,0.04,-0.37,-9.12,0.01,0.01,-0.01
2.17,0.02,-0.37,-9.14,0.02,0.01,-0.01
2.23,0.02,-0.39,-9.12,0.02,0.00,-0.00
2.29,0.00,-0.39,-9.13,0.01,0.00,-0.00
2.34,0.01,-0.37,-9.14,0.00,0.00,-0.01
2.40,0.03,-0.37,-9.12,0.01,0.00,-0.00
2.45,0.00,-0.36,-9.15,0.01,0.01,-0.01
2.51,0.04,-0.36,-9.15,0.02,0.01,-0.00
2.56,0.01,-0.39,-9.14,0.02,0.01,-0.01
2.62,-0.00,-0.37,-9.15,0.01,0.01,-0.01
2.68,-0.00,-0.37,-9.13,0.01,0.00,-0.01
2.73,0.02,-0.37,-9.14,0.02,0.00,-0.01
2.79,0.00,-0.38,-9.11,0.01,0.00,-0.01
2.84,0.03,-0.36,-9.16,0.01,0.01,-0.01
2.90,-0.01,-0.33,-9.15,0.01,0.00,-0.01
2.95,0.03,-0.34,-9.15,0.01,0.00,-0.01
3.01,-0.01,-0.37,-9.13,0.02,0.00,-0.01
3.07,0.01,-0.34,-9.15,0.02,0.00,-0.03
3.12,-0.01,-0.34,-9.15,0.02,0.00,-0.02
3.18,0.00,-0.34,-9.15,0.02,0.00,-0.01
3.23,-0.02,-0.35,-9.13,0.01,0.00,-0.01
3.29,0.02,-0.35,-9.15,0.01,0.00,-0.01
3.34,-0.01,-0.36,-9.14,0.02,0.00,-0.01
3.40,0.02,-0.38,-9.12,0.02,0.00,-0.01
3.45,0.01,-0.36,-9.11,0.02,0.01,-0.01
3.51,-0.01,-0.36,-9.13,0.01,0.00,-0.01
3.57,-0.01,-0.33,-9.16,0.01,0.00,-0.01
3.62,0.00,-0.35,-9.14,0.02,0.00,-0.01
3.68,0.00,-0.36,-9.16,0.01,0.00,-0.01
3.73,0.01,-0.34,-9.15,0.01,0.01,-0.01
3.79,0.00,-0.34,-9.12,0.01,0.01,-0.01
3.84,0.01,-0.34,-9.16,0.01,0.01,-0.01
3.90,-0.01,-0.33,-9.13,0.00,0.01,-0.01
3.96,0.02,-0.33,-9.16,0.01,0.01,-0.01
4.01,0.01,-0.34,-9.14,0.02,0.01,-0.01
4.07,0.01,-0.32,-9.14,0.00,0.00,-0.01
4.12,0.01,-0.30,-9.17,0.02,0.00,-0.01
4.18,0.01,-0.35,-9.10,-0.02,-0.01,-0.01
4.23,0.01,-0.30,-9.17,-0.01,-0.01,-0.01
4.29,0.02,-0.29,-9.14,0.04,-0.00,-0.03
4.34,0.01,-0.33,-9.11,0.02,-0.00,0.10
4.40,-0.06,-0.36,-9.14,-0.00,-0.00,-0.01
4.46,-0.03,-0.30,-9.16,0.00,-0.00,-0.03
4.51,-0.07,-0.37,-9.13,-0.02,-0.02,-0.04
4.57,-0.03,-0.27,-9.15,0.03,-0.00,0.00
4.62,-0.02,-0.29,-9.14,0.04,-0.00,0.02
