seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.06,0.07,-0.57,-9.12,0.01,0.00,-0.02
0.12,0.12,-0.55,-9.14,0.01,0.00,-0.03
0.17,0.09,-0.54,-9.13,0.01,0.01,-0.03
0.22,0.09,-0.54,-9.13,0.02,0.00,-0.02
0.28,0.09,-0.57,-9.14,-0.02,0.01,-0.08
0.34,0.16,-0.48,-9.14,0.02,0.00,-0.04
0.39,0.10,-0.56,-9.12,0.05,0.00,-0.00
0.45,0.09,-0.56,-9.11,0.01,0.00,-0.01
0.50,0.08,-0.53,-9.14,0.01,0.00,-0.01
0.56,0.08,-0.56,-9.13,0.04,0.00,-0.01
0.61,0.10,-0.56,-9.14,0.00,0.01,-0.01
0.67,0.10,-0.56,-9.16,0.01,0.00,-0.01
0.73,0.10,-0.57,-9.13,0.03,0.00,-0.01
0.78,0.09,-0.58,-9.12,0.02,0.00,-0.01
0.84,0.09,-0.57,-9.10,-0.01,0.00,-0.01
0.89,-0.17,-0.63,-9.13,0.01,0.00,-0.11
0.95,-0.91,-0.35,-9.02,0.10,-0.00,0.01
1.00,-0.49,-0.66,-9.12,-0.01,0.01,-0.13
1.06,-0.45,-0.59,-9.15,-0.09,-0.00,0.03
1.12,-0.89,-0.44,-9.18,0.04,-0.00,-0.03
1.17,-0.85,-0.72,-9.07,0.00,0.00,-0.03
1.23,-0.91,-0.48,-9.21,-0.01,-0.00,-0.01
1.28,-0.88,-0.41,-9.17,-0.05,-0.02,-0.05
1.34,-0.61,-0.46,-9.17,-0.09,0.01,-0.10
1.39,-0.65,-0.34,-9.15,0.05,-0.06,0.03
1.45,0.40,-0.50,-9.09,0.06,-0.05,-0.09
1.51,0.51,-0.44,-9.01,-0.00,0.01,-0.03
1.56,0.39,-0.23,-9.15,-0.04,-0.11,-0.02
1.62,0.80,-0.46,-8.86,-0.24,0.30,-0.10
1.67,0.49,-0.71,-9.14,-0.02,-0.08,-0.01
1.73,0.51,-0.61,-9.24,-0.06,-0.03,-0.03
1.78,-0.04,-0.40,-9.13,-0.09,-0.03,-0.04
1.84,-0.04,-0.20,-9.21,-0.11,-0.01,-0.16
1.90,0.06,-0.14,-9.24,0.05,-0.00,-0.12
1.95,-0.16,-0.28,-9.19,-0.04,0.05,-0.11
2.01,-0.08,-0.19,-9.21,0.07,-0.02,-0.19
2.06,0.42,-0.26,-9.11,0.07,0.03,-0.14
2.12,-0.03,-0.08,-9.19,0.08,0.01,-0.08
2.17,0.62,-0.31,-9.19,0.01,0.00,-0.11
2.23,0.41,-0.46,-9.20,0.02,-0.00,-0.03
2.29,0.44,-0.42,-9.10,0.05,0.01,0.05
2.34,0.67,-0.37,-9.18,0.08,0.00,0.10
2.40,0.45,-0.51,-9.18,0.02,-0.01,0.24
2.45,0.48,-0.67,-9.13,0.00,0.00,0.17
2.51,0.44,-0.58,-9.16,-0.03,-0.01,0.23
2.56,0.29,-0.28,-9.20,-0.03,0.01,0.20
2.62,0.45,-0.23,-9.16,-0.06,0.02,0.28
2.68,0.71,-0.24,-9.06,-0.01,0.02,0.20
2.73,0.13,-0.17,-9.07,0.03,0.04,0.19
2.79,0.50,-0.48,-9.12,0.05,0.02,-0.00
2.84,0.28,-0.37,-9.14,0.02,0.02,0.04
2.90,0.02,-0.38,-9.17,0.02,0.02,-0.04
2.95,0.21,-0.41,-9.15,-0.00,0.01,0.05
3.01,0.17,-0.33,-9.14,0.02,0.01,-0.02
3.07,0.12,-0.37,-9.11,0.02,0.01,-0.02
3.12,0.08,-0.37,-9.18,0.03,0.01,-0.01
3.18,0.10,-0.37,-9.09,0.02,0.00,-0.01
3.23,0.07,-0.38,-9.12,0.01,0.00,-0.01
3.29,0.05,-0.37,-9.13,0.01,0.00,-0.01
3.34,0.06,-0.38,-9.11,0.02,0.00,-0.01
3.40,0.08,-0.37,-9.10,0.03,0.01,-0.01
3.46,0.13,-0.34,-9.12,0.04,0.01,-0.09
3.51,0.09,-0.39,-9.12,0.03,0.01,-0.00
3.57,0.07,-0.41,-9.12,0.04,0.01,-0.01
3.62,0.10,-0.40,-9.13,0.04,0.02,-0.00
3.68,0.09,-0.44,-9.09,-0.01,-0.01,-0.01
3.73,0.05,-0.40,-9.18,0.01,0.00,-0.01
3.79,0.09,-0.41,-9.16,0.04,0.00,-0.01
3.84,0.06,-0.45,-9.13,0.04,0.01,-0.01
3.90,0.14,-0.45,-9.14,0.04,0.01,-0.01
3.96,0.09,-0.45,-9.11,0.05,0.01,-0.00
4.01,0.10,-0.49,-9.16,0.01,0.01,-0.01
4.07,0.11,-0.48,-9.16,0.03,0.01,-0.01
4.12,0.11,-0.48,-9.10,-0.01,0.00,-0.01
4.18,0.12,-0.47,-9.12,0.01,0.01,-0.01
4.23,0.10,-0.45,-9.14,0.02,0.01,-0.00
4.29,0.12,-0.48,-9.14,0.00,0.01,-0.00
4.34,0.12,-0.42,-9.11,0.01,0.01,-0.01
4.40,0.12,-0.46,-9.14,0.01,0.01,-0.01
4.46,0.10,-0.43,-9.16,0.02,0.01,-0.00
4.51,0.15,-0.44,-9.17,0.01,0.01,-0.01
4.57,0.11,-0.45,-9.12,0.04,0.01,-0.00
4.62,0.12,-0.44,-9.17,0.02,0.01,-0.00
4.68,0.12,-0.47,-9.12,0.03,0.01,-0.00
4.74,0.12,-0.46,-9.19,0.04,0.01,-0.01
4.79,0.12,-0.52,-9.10,0.03,0.01,-0.01
4.85,0.13,-0.49,-9.13,0.00,0.00,-0.01
4.90,0.12,-0.47,-9.16,0.02,0.01,-0.01
4.96,0.12,-0.50,-9.11,0.03,0.01,-0.01
5.01,0.14,-0.50,-9.12,0.03,0.01,-0.01
5.07,0.12,-0.52,-9.13,0.01,0.00,-0.00
5.12,0.12,-0.51,-9.16,0.02,0.01,-0.01
5.18,0.13,-0.49,-9.10,0.01,0.00,-0.01
5.24,0.14,-0.51,-9.15,0.02,0.00,-0.01
5.29,0.14,-0.49,-9.14,0.01,0.00,-0.01
5.35,0.16,-0.50,-9.10,0.03,0.01,-0.00
5.40,0.11,-0.51,-9.15,0.02,0.01,-0.00
5.46,0.14,-0.50,-9.10,0.01,0.00,-0.00
5.51,0.13,-0.51,-9.10,0.01,0.00,-0.01
5.57,0.13,-0.51,-9.14,0.03,0.01,-0.01
5.63,0.15,-0.50,-9.14,0.00,0.00,-0.00
5.68,0.12,-0.52,-9.12,0.02,0.01,-0.00
5.74,0.14,-0.50,-9.11,0.01,0.01,-0.01
5.79,0.13,-0.49,-9.16,0.01,0.00,-0.00
5.85,0.13,-0.50,-9.10,0.01,0.00,-0.01
5.90,0.13,-0.50,-9.14,0.02,0.00,-0.01
5.96,0.12,-0.49,-9.10,0.02,0.00,-0.01
